STARTDATE,ENDDATE,CRITICALFLAG,VIOLATIONCODE,VIOLATIONDESC
7/26/10 0:00,12/31/99 0:00,Y,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.
7/26/10 0:00,12/31/99 0:00,Y,05E,Toilet facility not provided for employees or for patrons when required.
7/26/10 0:00,12/31/99 0:00,Y,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.
7/26/10 0:00,12/31/99 0:00,Y,05G,Properly enclosed service/maintenance area not provided.
7/26/10 0:00,12/31/99 0:00,Y,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment."
7/26/10 0:00,12/31/99 0:00,Y,05I,Refrigeration used to implement HACCP plan not equipped with an electronic system that continuously monitors time and temperature.
7/26/10 0:00,12/31/99 0:00,Y,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.
7/26/10 0:00,12/31/99 0:00,Y,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed."
7/26/10 0:00,12/31/99 0:00,Y,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service."
7/26/10 0:00,12/31/99 0:00,Y,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred."
7/26/10 0:00,12/31/99 0:00,Y,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored."
7/26/10 0:00,12/31/99 0:00,Y,06F,Wiping cloths soiled or not stored in sanitizing solution.
7/26/10 0:00,12/31/99 0:00,Y,06G,HACCP plan not approved or approved HACCP plan not maintained on premises.
7/26/10 0:00,12/31/99 0:00,Y,06H,Records and logs not maintained to demonstrate that HACCP plan has been properly implemented.
7/26/10 0:00,12/31/99 0:00,Y,06I,Food not labeled in accordance with HACCP plan.
7/26/10 0:00,12/31/99 0:00,Y,07A,Duties of an officer of the Department interfered with or obstructed.
7/26/10 0:00,12/31/99 0:00,N,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.
7/26/10 0:00,12/31/99 0:00,N,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty."
7/26/10 0:00,12/31/99 0:00,N,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.
7/26/10 0:00,12/31/99 0:00,N,09A,Canned food product observed dented and not segregated from other consumable food items.
7/26/10 0:00,12/31/99 0:00,N,09B,Thawing procedures improper.
7/26/10 0:00,12/31/99 0:00,N,09C,Food contact surface not properly maintained.
7/26/10 0:00,12/31/99 0:00,N,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door."
7/26/10 0:00,12/31/99 0:00,N,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.
7/26/10 0:00,12/31/99 0:00,N,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms."
7/26/10 0:00,12/31/99 0:00,N,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes."
7/26/10 0:00,12/31/99 0:00,N,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.
7/26/10 0:00,12/31/99 0:00,N,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit."
7/26/10 0:00,12/31/99 0:00,N,10G,Food service operation occurring in room used as living or sleeping quarters.
7/26/10 0:00,12/31/99 0:00,N,10H,Proper sanitization not provided for utensil ware washing operation.
7/26/10 0:00,12/31/99 0:00,N,10I,"Single service item reused, improperly stored, dispensed; not used when required."
7/26/10 0:00,12/31/99 0:00,N,10J,&quot;Wash hands&quot; sign not posted at hand wash facility.
7/26/10 0:00,12/31/99 0:00,N,15A,Tobacco vending machine present where prohibited.
7/26/10 0:00,12/31/99 0:00,N,15B,Tobacco vending machine placed less than 25 feet from entrance to premises.
7/26/10 0:00,12/31/99 0:00,N,15C,"Tobacco vending machine not visible to the operator, employee or agent."
7/26/10 0:00,12/31/99 0:00,N,15D,"Durable sign with license number, expiration date, and address and phone number not posted."
7/26/10 0:00,12/31/99 0:00,N,15E,Out-of package sale of tobacco products observed.
7/26/10 0:00,12/31/99 0:00,N,15F,Employee under the age of 18 selling tobacco products without direct supervision of an adult retail dealer or dealer.
7/26/10 0:00,12/31/99 0:00,N,15G,Sale to minor observed.
7/26/10 0:00,12/31/99 0:00,N,15H,Sign prohibiting sale of tobacco products to minors not conspicuously posted.
7/26/10 0:00,12/31/99 0:00,N,15I,&quot;No Smoking&quot; and/or &quot;Smoking Permitted&quot; sign not conspicuously posted. Health warning not present on &quot;Smoking Permitted&quot;
7/26/10 0:00,12/31/99 0:00,N,15J,Ashtray present in smoke-free area.
7/26/10 0:00,12/31/99 0:00,N,15K,Operator failed to make good faith effort to inform smokers of the Smoke-free Act prohibition of smoking.
7/26/10 0:00,12/31/99 0:00,N,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees."
7/26/10 0:00,12/31/99 0:00,N,15M,Use of tobacco product on school premises (at or below the 12th grade level) observed.
7/26/10 0:00,12/31/99 0:00,N,15N,Smoking permitted and/or allowed in smoking prohibited area under the operator's control.
7/26/10 0:00,12/31/99 0:00,N,15O,Sale of herbal cigarettes to minors observed.
7/26/10 0:00,12/31/99 0:00,N,15P,No tobacco health warning and smoking cessation sign(s) are posted.
7/26/10 0:00,12/31/99 0:00,N,15Q,Tobacco health warning and smoking cessation sign(s) are obstructed and/or not prominently displayed.
7/26/10 0:00,12/31/99 0:00,N,15R,No large tobacco health warning and smoking cessation sign is posted where tobacco products are displayed; small sign(s) are not posted at each register or place of payment.
7/26/10 0:00,12/31/99 0:00,Y,15S,Flavored tobacco products sold or offered for sale.
7/26/10 0:00,12/31/99 0:00,Y,15T,Original label for tobacco products sold or offered for sale.
7/26/10 0:00,12/31/99 0:00,N,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served."
7/26/10 0:00,12/31/99 0:00,N,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer's documentation not maintained on site."
7/26/10 0:00,12/31/99 0:00,N,16C,"Caloric content not posted on menus, menu boards or food tags, in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized."
7/26/10 0:00,12/31/99 0:00,N,16D,"Posted caloric content on the menu(s), menu board(s), food tag(s) or stanchions adjacent to menu boards for drive-through windows deficient, in that the size and/or font for posted calories is not as prominent as the name of the menu item or its price."
7/26/10 0:00,12/31/99 0:00,N,16E,"Caloric content range (minimum to maximum) not posted on menus and or menu boards for each flavor, variety and size of each menu item that is offered for sale in different flavors, varieties and sizes."
7/26/10 0:00,12/31/99 0:00,N,16F,"Specific caloric content or range thereof not posted on menus, menu boards or food tags for each menu item offered as a combination meal with multiple options that are listed as single items."
7/26/10 0:00,12/31/99 0:00,N,18A,"Current valid permit, registration or other authorization to operate establishment not available."
7/26/10 0:00,12/31/99 0:00,N,18B,"Document issued by the Board of Health, Commissioner or Department unlawfully reproduced or altered."
7/26/10 0:00,12/31/99 0:00,N,18C,"Notice of the Department of Board of Health mutilated, obstructed, or removed."
7/26/10 0:00,12/31/99 0:00,N,18D,"Failure to comply with an Order of the Board of Health, Commissioner, or Department."
7/26/10 0:00,12/31/99 0:00,N,18E,Failure to report occurrences of suspected food borne illness to the Department.
7/26/10 0:00,12/31/99 0:00,N,18F,Permit not conspicuously displayed.
7/26/10 0:00,12/31/99 0:00,N,18G,Manufacture of frozen dessert not authorized on Food Service Establishment permit.
7/26/10 0:00,12/31/99 0:00,N,18H,Failure of event sponsor to exclude vendor without a current valid permit or registration.
7/26/10 0:00,12/31/99 0:00,N,20A,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.
7/26/10 0:00,12/31/99 0:00,N,20B,Food allergy information poster not posted in language understood by all food workers.
7/26/10 0:00,12/31/99 0:00,N,20C,Food allergy poster does not contain text provided or approved by Department.
7/26/10 0:00,12/31/99 0:00,N,20D,"&quot;Choking first aid&quot; poster not posted. &quot;Alcohol and pregnancy&quot; warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted."
7/26/10 0:00,12/31/99 0:00,N,20E,Letter Grade or Grade Pending card not conspicuously posted and visible to passersby.
7/26/10 0:00,12/31/99 0:00,N,20F,Current letter grade card not posted.
7/26/10 0:00,12/31/99 0:00,Y,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions."
7/26/10 0:00,12/31/99 0:00,N,22B,Toilet facility used by women does not have at least one covered garbage receptacle.
7/26/10 0:00,12/31/99 0:00,Y,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur."
7/26/10 0:00,12/31/99 0:00,Y,22E,ROP processing equipment not approved by DOHMH.
7/26/10 0:00,12/31/99 0:00,N,99B,Other general violation.
